 Year , Month , Day ,Period,Flex Down
2025,1,1,1,254.3
2025,1,1,2,222.69
2025,1,1,3,204.55
2025,1,1,4,227.92
2025,1,1,5,243.69
2025,1,1,6,185.09
2025,1,1,7,172.07
2025,1,1,8,193.24
2025,1,1,9,175.05
2025,1,1,10,224.84
2025,1,1,11,237.18
2025,1,1,12,178.9
2025,1,1,13,234.58
2025,1,1,14,220.62
2025,1,1,15,221.17
2025,1,1,16,230.32
2025,1,1,17,184.58
2025,1,1,18,258.96
2025,1,1,19,260.07
2025,1,1,20,197.74
2025,1,1,21,220.03
2025,1,1,22,232.52
2025,1,1,23,261.88
2025,1,1,24,209.21
2025,1,2,1,254.3
2025,1,2,2,222.69
2025,1,2,3,204.55
2025,1,2,4,227.92
2025,1,2,5,243.69
2025,1,2,6,185.09
2025,1,2,7,172.07
2025,1,2,8,193.24
2025,1,2,9,175.05
2025,1,2,10,224.84
2025,1,2,11,237.18
2025,1,2,12,178.9
2025,1,2,13,234.58
2025,1,2,14,220.62
2025,1,2,15,221.17
2025,1,2,16,230.32
2025,1,2,17,184.58
2025,1,2,18,258.96
2025,1,2,19,260.07
2025,1,2,20,197.74
2025,1,2,21,220.03
2025,1,2,22,232.52
2025,1,2,23,261.88
2025,1,2,24,209.21
2025,1,3,1,254.3
2025,1,3,2,222.69
2025,1,3,3,204.55
2025,1,3,4,227.92
2025,1,3,5,243.69
2025,1,3,6,185.09
2025,1,3,7,172.07
2025,1,3,8,193.24
2025,1,3,9,175.05
2025,1,3,10,224.84
2025,1,3,11,237.18
2025,1,3,12,178.9
2025,1,3,13,234.58
2025,1,3,14,220.62
2025,1,3,15,221.17
2025,1,3,16,230.32
2025,1,3,17,184.58
2025,1,3,18,258.96
2025,1,3,19,260.07
2025,1,3,20,197.74
2025,1,3,21,220.03
2025,1,3,22,232.52
2025,1,3,23,261.88
2025,1,3,24,209.21
2025,1,4,1,254.3
2025,1,4,2,222.69
2025,1,4,3,204.55
2025,1,4,4,227.92
2025,1,4,5,243.69
2025,1,4,6,185.09
2025,1,4,7,172.07
2025,1,4,8,193.24
2025,1,4,9,175.05
2025,1,4,10,224.84
2025,1,4,11,237.18
2025,1,4,12,178.9
2025,1,4,13,234.58
2025,1,4,14,220.62
2025,1,4,15,221.17
2025,1,4,16,230.32
2025,1,4,17,184.58
2025,1,4,18,258.96
2025,1,4,19,260.07
2025,1,4,20,197.74
2025,1,4,21,220.03
2025,1,4,22,232.52
2025,1,4,23,261.88
2025,1,4,24,209.21
2025,1,5,1,254.3
2025,1,5,2,222.69
2025,1,5,3,204.55
2025,1,5,4,227.92
2025,1,5,5,243.69
2025,1,5,6,185.09
2025,1,5,7,172.07
2025,1,5,8,193.24
2025,1,5,9,175.05
2025,1,5,10,224.84
2025,1,5,11,237.18
2025,1,5,12,178.9
2025,1,5,13,234.58
2025,1,5,14,220.62
2025,1,5,15,221.17
2025,1,5,16,230.32
2025,1,5,17,184.58
2025,1,5,18,258.96
2025,1,5,19,260.07
2025,1,5,20,197.74
2025,1,5,21,220.03
2025,1,5,22,232.52
2025,1,5,23,261.88
2025,1,5,24,209.21
2025,1,6,1,254.3
2025,1,6,2,222.69
2025,1,6,3,204.55
2025,1,6,4,227.92
2025,1,6,5,243.69
2025,1,6,6,185.09
2025,1,6,7,172.07
2025,1,6,8,193.24
2025,1,6,9,175.05
2025,1,6,10,224.84
2025,1,6,11,237.18
2025,1,6,12,178.9
2025,1,6,13,234.58
2025,1,6,14,220.62
2025,1,6,15,221.17
2025,1,6,16,230.32
2025,1,6,17,184.58
2025,1,6,18,258.96
2025,1,6,19,260.07
